monument_id,name_tr,name_en,type_tr,type_en,date_ce,city_tr,city_en,lat,lon,dynasty_id,patron_ruler,unesco,status,significance,notes_tr,notes_en
1,Mescid-i Nebevî,Prophet's Mosque,Cami,Mosque,622,Medine,Medina,24.47,39.61,1,Hz. Muhammed,Hayır,Aktif,Kritik,İslam'ın ikinci kutsal mescidi; birçok kez genişletildi,Second holiest mosque in Islam; expanded many times
2,Mescid-i Aksâ,Al-Aqsa Mosque,Cami,Mosque,705,Kudüs,Jerusalem,31.78,35.24,2,Abdülmelik / Velîd I,Evet,Aktif,Kritik,İslam'ın üçüncü kutsal mescidi; İsrâ ve Mi'rac,Third holiest mosque; Night Journey destination
3,Kubbetü's-Sahra,Dome of the Rock,Türbe/Anıt,Shrine,691,Kudüs,Jerusalem,31.78,35.24,2,Abdülmelik b. Mervân,Evet,Aktif,Kritik,İslam'ın ilk büyük anıtsal yapısı; sekizgen plan,First major Islamic monument; octagonal plan
4,Emevî Camii (Şam),Umayyad Mosque (Damascus),Cami,Mosque,715,Şam,Damascus,33.51,36.31,2,Velîd I,Evet,Aktif,Kritik,İslam mimarisinin ilk başyapıtlarından; mozaikler,One of the first masterpieces of Islamic architecture
5,Hırbet el-Mefcer (Hişâm Sarayı),Khirbat al-Mafjar,Saray,Palace,743,Eriha,Jericho,31.88,35.46,2,Hişâm / II. Velîd,Hayır,Harabe,Yüksek,Emevî çöl sarayı; zengin stuko süslemeler,Umayyad desert palace; rich stucco decoration
6,Kayrevan Ulu Camii,Great Mosque of Kairouan,Cami,Mosque,670,Kayrevan,Kairouan,35.68,10.1,2,Ukbe b. Nâfi,Evet,Aktif,Kritik,Kuzey Afrika'nın en eski camii; Mağrib mimarisinin modeli,Oldest mosque in North Africa; model for Maghreb architecture
7,Bağdat Yuvarlak Şehir,Round City of Baghdad,Şehir,City,762,Bağdat,Baghdad,33.31,44.37,3,Mansûr,Hayır,Yıkık,Kritik,Abbâsî başkenti; dairesel planlı şehir; Bâbü's-Selâm,Abbasid capital; circular city plan; Gate of Peace
8,Sâmarrâ Ulu Camii (Melviye),Great Mosque of Samarra,Cami,Mosque,851,Sâmarrâ,Samarra,34.21,43.88,3,Mütevekkil,Evet,Harabe,Kritik,Dünyanın en büyük camilerinden; spiral minare (Melviye),One of world's largest mosques; spiral minaret (Malwiya)
9,İbn Tolun Camii,Mosque of Ibn Tulun,Cami,Mosque,879,Kahire,Cairo,30.03,31.25,25,Ahmed b. Tolun,Evet,Aktif,Kritik,Kahire'nin en eski camii; Sâmarrâ etkisi; spiral minare,Oldest mosque in Cairo; Samarra influence
10,el-Ezher Camii,Al-Azhar Mosque,Cami/Üniversite,Mosque/University,972,Kahire,Cairo,30.05,31.26,27,Cevher es-Sıkıllî,Evet,Aktif,Kritik,Dünyanın en eski üniversitelerinden; hâlâ faal,One of world's oldest universities; still active
11,el-Hâkim Camii,Al-Hakim Mosque,Cami,Mosque,1013,Kahire,Cairo,30.06,31.26,27,el-Hâkim,Evet,Aktif,Yüksek,Fâtımî mimarisinin önemli örneği,Important example of Fatimid architecture
12,Kurtuba Ulu Camii (Mezquita),Great Mosque of Córdoba,Cami,Mosque,785,Kurtuba,Córdoba,37.88,-4.78,4,I. Abdurrahman,Evet,Aktif,Kritik,İslam İspanyası'nın simgesi; çift katlı kemerler; 856 sütun,Symbol of Islamic Spain; double arches; 856 columns
13,Medinetüzzehrâ,Madinat al-Zahra,Saray/Şehir,Palace/City,936,Kurtuba yakını,near Córdoba,37.88,-4.87,4,III. Abdurrahman,Evet,Harabe,Yüksek,Emevî saray şehri; 10.000 işçi ile inşa,"Umayyad palace city; built by 10,000 workers"
14,el-Hamrâ Sarayı (Alhambra),Alhambra Palace,Saray,Palace,1238,Gırnata,Granada,37.18,-3.59,7,Nasrî sultanları,Evet,Müze,Kritik,İslam sanatının en parlak eseri; Aslanlar Avlusu,Finest achievement of Islamic art; Court of the Lions
15,Kutubiye Camii,Koutoubia Mosque,Cami,Mosque,1162,Merakeş,Marrakesh,31.62,-7.99,15,Abdülmü'min,Evet,Aktif,Yüksek,Muvahhid mimarisinin başyapıtı; Giralda ve Hassan Kulesi'ne model,Almohad masterpiece; model for Giralda and Hassan Tower
16,Hassan Kulesi,Hassan Tower,Minare,Minaret,1195,Rabat,Rabat,34.02,-6.82,15,Ya'kūb el-Mansûr,Evet,Tamamlanmamış,Yüksek,Tamamlanmamış dev minare; 44m yüksekliğinde,Unfinished giant minaret; 44m tall
17,İsfahan Cuma Camii,Isfahan Friday Mosque,Cami,Mosque,1088,İsfahan,Isfahan,32.67,51.68,91,Nizâmülmülk / Tâcülmülk,Evet,Aktif,Kritik,İslam mimarisinin ansiklopedisi; dört eyvanlı plan,Encyclopedia of Islamic architecture; four-iwan plan
18,Kudüs Salâhaddîn Eserleri,Saladin's Jerusalem Works,Kale/Cami,Citadel/Mosque,1187,Kudüs,Jerusalem,31.78,35.23,30,Salâhaddîn,Evet,Aktif,Yüksek,Kudüs'ün İslami restorasyonu; medreseler,Islamic restoration of Jerusalem; madrasas
19,Sultan Hasan Camii,Sultan Hassan Mosque,Cami/Medrese,Mosque/Madrasa,1356,Kahire,Cairo,30.03,31.26,31,Sultan Hasan,Evet,Aktif,Kritik,Memlûk mimarisinin başyapıtı; dört mezhep medresesi,Mamluk masterpiece; four-school madrasa
20,Kayıtbay Külliyesi,Qaitbay Complex,Külliye,Complex,1474,Kahire,Cairo,30.05,31.28,31,Kayıtbay,Evet,Aktif,Yüksek,Geç Memlûk mimarisinin incisi,Gem of late Mamluk architecture
21,Divriği Ulu Camii ve Dârüşşifâsı,Divriği Great Mosque and Hospital,Cami/Hastane,Mosque/Hospital,1228,Divriği,Divriği,39.37,38.12,93,Ahmed Şah,Evet,Aktif,Kritik,UNESCO; eşsiz taş işçiliği; portal süslemeleri,UNESCO; unique stonework; portal decorations
22,Selimiye Camii,Selimiye Mosque,Cami,Mosque,1574,Edirne,Edirne,41.68,26.56,130,II. Selim / Mimar Sinan,Evet,Aktif,Kritik,Mimar Sinan'ın başyapıtı; 31.3m kubbe çapı,Sinan's masterpiece; 31.3m dome diameter
23,Süleymaniye Camii,Süleymaniye Mosque,Külliye,Complex,1557,İstanbul,Istanbul,41.02,28.96,130,Kanuni / Mimar Sinan,Evet,Aktif,Kritik,Osmanlı mimarisinin zirvesi; 7 yılda inşa,Pinnacle of Ottoman architecture; built in 7 years
24,Sultan Ahmed Camii (Mavi Cami),Sultan Ahmed Mosque (Blue Mosque),Cami,Mosque,1616,İstanbul,Istanbul,41.01,28.98,130,I. Ahmed,Evet,Aktif,Kritik,6 minareli; 20.000+ İznik çinisi,"6 minarets; 20,000+ Iznik tiles"
25,Topkapı Sarayı,Topkapi Palace,Saray,Palace,1478,İstanbul,Istanbul,41.01,28.98,130,Fatih Sultan Mehmed,Evet,Müze,Kritik,400 yıl Osmanlı yönetim merkezi; kutsal emanetler,Ottoman administrative center for 400 years; holy relics
26,Registan Meydanı,Registan Square,Meydan/Medrese,Square/Madrasa,1420,Semerkant,Samarkand,39.65,66.98,144,Uluğ Bey,Evet,Müze,Kritik,Orta Asya'nın kalbi; üç medrese; çini sanatı,Heart of Central Asia; three madrasas; tile art
27,Gûr-ı Emîr (Timur Türbesi),Gur-e-Amir,Türbe,Mausoleum,1404,Semerkant,Samarkand,39.65,66.96,144,Timur,Evet,Müze,Kritik,Timur ve soyunun türbesi; çift kubbeli yapı,Tomb of Timur and descendants; double-dome structure
28,Nakş-ı Cihan Meydanı,Naqsh-e Jahan Square,Meydan,Square,1598,İsfahan,Isfahan,32.66,51.68,148,Şah Abbas I,Evet,Aktif,Kritik,"Dünyanın en büyük meydanlarından; Şah Camii, Ali Kapu","One of world's largest squares; Shah Mosque, Ali Qapu"
29,Şah Camii (İmam Camii),Shah Mosque (Imam Mosque),Cami,Mosque,1629,İsfahan,Isfahan,32.66,51.68,148,Şah Abbas I,Evet,Aktif,Kritik,Safevî mimarisinin başyapıtı; çini mozaikler,Safavid masterpiece; tile mosaics
30,Kutub Minar,Qutb Minar,Minare,Minaret,1199,Delhi,Delhi,28.52,77.19,160,Kutbüddîn Aybeg,Evet,Müze,Kritik,Dünyanın en yüksek tuğla minaresi; 72.5m,World's tallest brick minaret; 72.5m
31,Tâc Mahal,Taj Mahal,Türbe,Mausoleum,1643,Agra,Agra,27.17,78.04,175,Şah Cihan,Evet,Müze,Kritik,Dünyanın yedi harikasından; Mümtâz Mahal için,One of Seven Wonders; built for Mumtaz Mahal
32,Fatihpûr Sikri,Fatehpur Sikri,Şehir,City,1571,Fatihpûr Sikri,Fatehpur Sikri,27.09,77.66,175,Ekber Şah,Evet,Harabe/Müze,Kritik,Ekber'in inşa ettiği başkent; 14 yıl kullanıldı,Capital built by Akbar; used for 14 years
33,Gol Gumbaz,Gol Gumbaz,Türbe,Mausoleum,1656,Bijapur,Bijapur,16.83,75.74,165,II. Muhammed Âdilşâh,Evet,Müze,Yüksek,Dünyanın en büyük ikinci kubbesi (44m); akustik odası,World's second largest dome (44m); whispering gallery
34,Demak Ulu Camii,Great Mosque of Demak,Cami,Mosque,1479,Demak,Demak,-6.89,110.64,183,Raden Patah,Hayır,Aktif,Yüksek,Java'nın en eski camilerinden; Vali Sanga'nın eseri,One of Java's oldest mosques; by Wali Sanga
35,Baiturrahman Camii,Baiturrahman Grand Mosque,Cami,Mosque,1612,Banda Aceh,Banda Aceh,5.55,95.32,184,İskender Muda,Hayır,Aktif,Yüksek,Açe Sultanlığı'nın simgesi,Symbol of Aceh Sultanate
36,Djenné Ulu Camii,Great Mosque of Djenné,Cami,Mosque,1907,Djenné,Djenné,13.91,-4.56,58,—,Evet,Aktif,Kritik,Dünyanın en büyük çamur yapısı; Sudan-Sahel üslubu,World's largest mud-brick building; Sudano-Sahelian style
37,Sankore Medresesi,Sankore Madrasa,Medrese,Madrasa,1325,Timbuktu,Timbuktu,16.77,-3.01,58,Mansa Musa,Evet,Harabe,Kritik,25.000 öğrenci; Batı Afrika'nın entelektüel merkezi,"25,000 students; intellectual center of West Africa"
38,Kilwa Kisiwani Büyük Cami,Great Mosque of Kilwa,Cami,Mosque,1000,Kilwa,Kilwa,-8.96,39.52,62,—,Evet,Harabe,Yüksek,Doğu Afrika sahilinin en eski taş camii,Oldest standing stone mosque on East African coast
39,Şâh-ı Zinde Nekropolü,Shah-i-Zinda Necropolis,Nekropol,Necropolis,1370,Semerkant,Samarkand,39.66,66.99,144,Timurlu hanedanı,Evet,Müze,Yüksek,20+ türbe; İslam çini sanatının zirvesi,20+ mausoleums; pinnacle of Islamic tile art
40,Mostar Köprüsü,Stari Most (Old Bridge),Köprü,Bridge,1566,Mostar,Mostar,43.34,17.81,130,Mimar Hayreddin,Evet,Aktif,Yüksek,"Osmanlı mühendisliğinin başyapıtı; 1993'te yıkıldı, 2004'te yeniden inşa","Ottoman engineering masterpiece; destroyed 1993, rebuilt 2004"
